pair_id,modality,case_id,slice_id,path_a,path_b,size_a,size_b,sha256_a,sha256_b
2014,CT-MRI,2,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2014.png,256x256,256x256,fb4842188ff04d97,e7da8366dc93ca8f
2015,CT-MRI,2,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2015.png,256x256,256x256,161fc93566678ec2,d9f2e9ec34211c16
2016,CT-MRI,2,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2016.png,256x256,256x256,ed8afa2bacdc6d8f,3f35f0dce051ad4e
2017,CT-MRI,2,17,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2017.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2017.png,256x256,256x256,8739b4814d42d6ed,54dca41f742a5961
2018,CT-MRI,2,18,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2018.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2018.png,256x256,256x256,a33ebb03948e9eee,1028a03e7a251a8b
2019,CT-MRI,2,19,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2019.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2019.png,256x256,256x256,44bb97097179c145,4eda48e74b9d1113
2020,CT-MRI,2,20,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2020.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2020.png,256x256,256x256,3cd556979ccd67dd,69e338a5e016f5ef
2021,CT-MRI,2,21,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2021.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2021.png,256x256,256x256,a11fca0db57cc064,c423a3c695e56b6a
2022,CT-MRI,2,22,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/2022.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/2022.png,256x256,256x256,96dd10970ce12ff2,454519b1b3cfdd0d
16003,CT-MRI,16,3,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16003.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16003.png,256x256,256x256,5dab3b79b9b36b5e,954a4fd34df5dc71
16004,CT-MRI,16,4,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16004.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16004.png,256x256,256x256,d038ff86e467e458,c6e09a48aae3ae50
16005,CT-MRI,16,5,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16005.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16005.png,256x256,256x256,7cc767a6d512ca88,3d6dead602bdf5b3
16006,CT-MRI,16,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16006.png,256x256,256x256,7beab8dc297df6f6,26a5e0897a0c28a4
16007,CT-MRI,16,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16007.png,256x256,256x256,c5830cf8376e1d86,c18271c116e5552a
16008,CT-MRI,16,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16008.png,256x256,256x256,00318a17d373852c,eb1354349ec1bf03
16009,CT-MRI,16,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16009.png,256x256,256x256,b22874e2540740fe,c4766c709c7c2774
16010,CT-MRI,16,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16010.png,256x256,256x256,6982e8d2242f2e0e,adcc1a73d28aa9fe
16011,CT-MRI,16,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16011.png,256x256,256x256,f5c2602dcdff397d,8ef930db6ba91053
16012,CT-MRI,16,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16012.png,256x256,256x256,7fb41628305806a3,f8dc5f1bd3e1665c
16013,CT-MRI,16,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16013.png,256x256,256x256,aad99fe7b1607bae,8de77dc42fe3c547
16014,CT-MRI,16,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16014.png,256x256,256x256,562796610e075215,3305cc3d4e53e3c4
16015,CT-MRI,16,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16015.png,256x256,256x256,6e3a69b03a5984bb,8f894aa3fa1dcac2
16016,CT-MRI,16,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16016.png,256x256,256x256,ce8b7cc2d1285979,ccc05d5deb253eb2
16017,CT-MRI,16,17,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16017.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16017.png,256x256,256x256,64a79d81160adf5b,275473c9e2ec3c22
16018,CT-MRI,16,18,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16018.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16018.png,256x256,256x256,bddd4173140aa900,cbd4211603180741
16019,CT-MRI,16,19,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16019.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16019.png,256x256,256x256,164dd91d45cddc04,1f11bbd69ee0553b
16020,CT-MRI,16,20,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/16020.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/16020.png,256x256,256x256,af96650faf997815,5936cba6af24beb8
20005,CT-MRI,20,5,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20005.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20005.png,256x256,256x256,3067a0b967276951,848839e0421e5321
20006,CT-MRI,20,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20006.png,256x256,256x256,d80412ed6c64f8a8,588e59a80a8efbcc
20007,CT-MRI,20,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20007.png,256x256,256x256,00f861f0e4402352,6c121278eb4f94de
20008,CT-MRI,20,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20008.png,256x256,256x256,14b88d94c445e52d,c70b4e6d962230f6
20009,CT-MRI,20,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20009.png,256x256,256x256,f53f07fef6ca7a9b,8980517303ac584e
20010,CT-MRI,20,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20010.png,256x256,256x256,3c8198b7fe98ccb4,d9e6e50c41a6cb71
20011,CT-MRI,20,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20011.png,256x256,256x256,f559f29693d31597,9579f5a8e9793171
20012,CT-MRI,20,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20012.png,256x256,256x256,a6c2f76f1c440fb3,4800fc26cf838a67
20013,CT-MRI,20,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20013.png,256x256,256x256,3094e266cee4c0d1,d22681095959ed83
20014,CT-MRI,20,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20014.png,256x256,256x256,4895cd33b98b1a45,f0078eff19aff25b
20015,CT-MRI,20,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20015.png,256x256,256x256,5f19d7d3a43dc191,26dbf50f46ae4e06
20016,CT-MRI,20,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20016.png,256x256,256x256,197ac4bb08b30a7a,395770dd2359f929
20017,CT-MRI,20,17,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20017.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20017.png,256x256,256x256,7185d54519fa5502,8ee8842421681bc1
20018,CT-MRI,20,18,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20018.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20018.png,256x256,256x256,7ce55e1a30ef8b8e,f403bc2cd1d8ea52
20019,CT-MRI,20,19,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20019.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20019.png,256x256,256x256,5e0d6d26e1ba2544,9f27deb542f819a2
20020,CT-MRI,20,20,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20020.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20020.png,256x256,256x256,6485ee09b05506f7,04927f8329535fbd
20021,CT-MRI,20,21,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20021.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20021.png,256x256,256x256,abb685e8d9ae834a,62a6970e7a469122
20022,CT-MRI,20,22,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/20022.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/20022.png,256x256,256x256,bc568a25fda16ac6,a84718347302b991
21004,CT-MRI,21,4,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21004.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21004.png,256x256,256x256,cec6af50be6d2835,e0f221b900ce0d73
21005,CT-MRI,21,5,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21005.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21005.png,256x256,256x256,dba80a72900b99b2,ed2375d668a4b9d3
21006,CT-MRI,21,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21006.png,256x256,256x256,00b1c3475204acfc,df217fc1ce6bdd1c
21007,CT-MRI,21,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21007.png,256x256,256x256,01df3652a93b8866,c21c64507df918c6
21008,CT-MRI,21,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21008.png,256x256,256x256,d7a88333e4c5b420,0c4d15ace3caf182
21009,CT-MRI,21,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21009.png,256x256,256x256,c7c782e5d48d3336,c1897a98e5a1677f
21010,CT-MRI,21,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21010.png,256x256,256x256,c39586cb48785874,7406d592d8b995f0
21011,CT-MRI,21,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21011.png,256x256,256x256,0662781822cc6b8a,370c96accb959e83
21012,CT-MRI,21,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21012.png,256x256,256x256,d1d652c579a3ccd4,10866e6e6ac7b10b
21013,CT-MRI,21,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21013.png,256x256,256x256,58178d095b4a1d42,96f7b55a0ce225e8
21014,CT-MRI,21,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21014.png,256x256,256x256,2fe960d3dec79eec,52653ca0b0958c79
21015,CT-MRI,21,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21015.png,256x256,256x256,2c398b3877663b48,802de3050d3df0f2
21016,CT-MRI,21,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21016.png,256x256,256x256,f299d1f1a4f39eda,9271453030bb7a9b
21017,CT-MRI,21,17,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21017.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21017.png,256x256,256x256,4b417d79abef8f50,96e1ca24618637fc
21018,CT-MRI,21,18,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21018.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21018.png,256x256,256x256,792ec1806543c4b9,6a5b71395a52e5a3
21019,CT-MRI,21,19,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21019.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21019.png,256x256,256x256,99dede2bf971b48c,1801d3412a168965
21020,CT-MRI,21,20,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/21020.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/21020.png,256x256,256x256,4f275697aaa414f2,8feefe6aeca14587
28005,CT-MRI,28,5,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28005.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28005.png,256x256,256x256,7d623d4b8f586d3c,0dc764a32e33116d
28006,CT-MRI,28,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28006.png,256x256,256x256,09b9b7ca414a4f5f,456a50fc5adb9244
28007,CT-MRI,28,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28007.png,256x256,256x256,01744f68dc7f5234,b7f0384e6a220bfd
28008,CT-MRI,28,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28008.png,256x256,256x256,5844606fc3158229,0dca4fe29fce5450
28009,CT-MRI,28,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28009.png,256x256,256x256,54971c05085a13e5,2aab2748feac1c22
28010,CT-MRI,28,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28010.png,256x256,256x256,86f45245281c2bfa,8eda8aee7b500412
28011,CT-MRI,28,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28011.png,256x256,256x256,8efa8cfcb87ed681,79ed8ac4853acf1d
28012,CT-MRI,28,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28012.png,256x256,256x256,3c633cd3172370d4,bb2bde768edb763f
28013,CT-MRI,28,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28013.png,256x256,256x256,901c54197c3fceb8,2e29a7ea669e66bd
28014,CT-MRI,28,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28014.png,256x256,256x256,de78a183c7f020dc,bfc77aaa1abb5bbd
28015,CT-MRI,28,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28015.png,256x256,256x256,a40b0e8eabc92c1d,a4228f7fc3a5b652
28016,CT-MRI,28,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28016.png,256x256,256x256,739fd9439a4ab1c3,a130fb749ccdbf96
28017,CT-MRI,28,17,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28017.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28017.png,256x256,256x256,8c5f884712312d22,e64e0885894a0581
28018,CT-MRI,28,18,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28018.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28018.png,256x256,256x256,63ced7f549ec3896,2a6f4b7bef08ac38
28019,CT-MRI,28,19,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28019.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28019.png,256x256,256x256,6d1eacc4f40d2f09,bd5c65bd36c5642d
28020,CT-MRI,28,20,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/28020.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/28020.png,256x256,256x256,189b3fdbddc517a8,5f7e6907131af661
32003,CT-MRI,32,3,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32003.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32003.png,256x256,256x256,8e793ce6e362cca5,684e7ecf168b8ac6
32006,CT-MRI,32,6,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32006.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32006.png,256x256,256x256,a27aec14ed4251a7,7919f14d909ab917
32007,CT-MRI,32,7,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32007.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32007.png,256x256,256x256,c56d7d3ee55dbd6d,6b2791831a8726c1
32008,CT-MRI,32,8,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32008.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32008.png,256x256,256x256,f75ea41d0960652a,f5a3b82a32eb3200
32009,CT-MRI,32,9,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32009.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32009.png,256x256,256x256,658887517fc001f6,f4725df20af91c8f
32010,CT-MRI,32,10,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32010.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32010.png,256x256,256x256,f429262b1766076e,645a259fdeddc847
32011,CT-MRI,32,11,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32011.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32011.png,256x256,256x256,cd2c0f7aea5a01ad,150167c171b38c17
32012,CT-MRI,32,12,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32012.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32012.png,256x256,256x256,7038e5229f09d6a1,63f49a537de0b490
32013,CT-MRI,32,13,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32013.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32013.png,256x256,256x256,e53e7f8bc84315db,58e880f4a346fb4f
32014,CT-MRI,32,14,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32014.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32014.png,256x256,256x256,5bbee6e2079ddf0c,dfd47ed7d3e170d7
32015,CT-MRI,32,15,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32015.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32015.png,256x256,256x256,84f2bf7bb3f85506,e80bb7666c00c54f
32016,CT-MRI,32,16,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/CT/32016.png,data/harvard_full/Havard-Medical-Image-Fusion-Datasets-main/CT-MRI/MRI/32016.png,256x256,256x256,d4ce5034e3b65db9,a2fe70a6053913ed
